#,action,category,weight,policy_a,policy_b,policy_c
1,List all my buckets,READ,1,SUCCESS,SUCCESS,SUCCESS
2,List bucket,READ,1,SUCCESS,SUCCESS,SUCCESS
3,Get object,READ,1,SUCCESS,SUCCESS,SUCCESS
4,Get object version,READ,1,DENIED,SUCCESS,SUCCESS
5,Get bucket acl,READ,1,DENIED,SUCCESS,SUCCESS
6,Get bucket policy,READ,1,DENIED,SUCCESS,SUCCESS
7,Put object,WRITE,2,DENIED,SUCCESS,SUCCESS
8,Copy object,WRITE,2,DENIED,SUCCESS,SUCCESS
9,Create bucket,WRITE,2,DENIED,SUCCESS,SUCCESS
10,Put bucket acl,WRITE,2,DENIED,DENIED,SUCCESS
11,Put bucket policy,WRITE,2,DENIED,DENIED,SUCCESS
12,Delete object,DESTROY,3,DENIED,DENIED,SUCCESS
13,Delete bucket,DESTROY,3,DENIED,DENIED,SUCCESS
14,Delete bucket policy,DESTROY,3,DENIED,DENIED,SUCCESS
15,Describe instances,READ,1,DENIED,SUCCESS,SUCCESS
16,Describe security groups,READ,1,DENIED,SUCCESS,SUCCESS
17,Describe volumes,READ,1,DENIED,SUCCESS,SUCCESS
18,Describe snapshots,READ,1,DENIED,SUCCESS,SUCCESS
19,Describe vpcs,READ,1,DENIED,SUCCESS,SUCCESS
20,Create tags,WRITE,2,DENIED,SUCCESS,SUCCESS
21,Start instances,WRITE,2,DENIED,SUCCESS,SUCCESS
22,Run instances,WRITE,2,DENIED,DENIED,SUCCESS
23,Create snapshot,WRITE,2,DENIED,DENIED,SUCCESS
24,Authorize security group ingress,WRITE,2,DENIED,DENIED,SUCCESS
25,Stop instances,DESTROY,3,DENIED,SUCCESS,SUCCESS
26,Terminate instances,DESTROY,3,DENIED,DENIED,SUCCESS
27,Delete snapshot,DESTROY,3,DENIED,DENIED,SUCCESS
28,Delete security group,DESTROY,3,DENIED,DENIED,SUCCESS
29,List users,READ,1,DENIED,DENIED,SUCCESS
30,List roles,READ,1,DENIED,DENIED,SUCCESS
31,List policies,READ,1,DENIED,DENIED,SUCCESS
32,Get role,READ,1,DENIED,DENIED,SUCCESS
33,Get policy,READ,1,DENIED,DENIED,SUCCESS
34,Get account authorization details,READ,1,DENIED,DENIED,SUCCESS
35,Create user,ESCALATE,4,DENIED,DENIED,DENIED
36,Create role,ESCALATE,4,DENIED,DENIED,DENIED
37,Create access key,ESCALATE,4,DENIED,DENIED,DENIED
38,Attach user policy,ESCALATE,4,DENIED,DENIED,DENIED
39,Attach role policy,ESCALATE,4,DENIED,DENIED,DENIED
40,Put user policy,ESCALATE,4,DENIED,DENIED,DENIED
41,Put role policy,ESCALATE,4,DENIED,DENIED,DENIED
42,Update assume role policy,ESCALATE,4,DENIED,DENIED,DENIED
43,Create policy version,ESCALATE,4,DENIED,DENIED,DENIED
44,Pass role,ESCALATE,4,DENIED,DENIED,DENIED
45,Delete user,DESTROY,3,DENIED,DENIED,DENIED
46,Delete role,DESTROY,3,DENIED,DENIED,DENIED
47,Get caller identity,READ,1,SUCCESS,SUCCESS,SUCCESS
48,Get session token,READ,1,DENIED,SUCCESS,SUCCESS
49,Assume role,ESCALATE,4,DENIED,DENIED,SUCCESS
50,List functions,READ,1,DENIED,SUCCESS,SUCCESS
51,Get function,READ,1,DENIED,SUCCESS,SUCCESS
52,Get policy,READ,1,DENIED,DENIED,SUCCESS
53,Invoke function,WRITE,2,DENIED,SUCCESS,SUCCESS
54,Create function,WRITE,2,DENIED,DENIED,SUCCESS
55,Update function code,WRITE,2,DENIED,DENIED,SUCCESS
56,Update function configuration,WRITE,2,DENIED,DENIED,SUCCESS
